group_code,group_name,sku_code,jan_code,name_variant,color,size,quantity,reorder_point,safety_stock,unit_price_ex_tax,is_active,group_description,sort_order
MLS-100,ストライプクルーニット（ダミー01）,MLS-100-WH-S,4519900000011,定番,ホワイト,S,18,5,8,1497,true,コットン混の定番ニット。,0
MLS-100,ストライプクルーニット（ダミー01）,MLS-100-BK-S,4519900000028,シーズン限定風,ブラック,S,24,6,10,1636,true,コットン混の定番ニット。,0
MLS-100,ストライプクルーニット（ダミー01）,MLS-100-BG-M,4519900000035,定番,ベージュ,M,13,7,12,1616,true,コットン混の定番ニット。,0
MLS-100,ストライプクルーニット（ダミー01）,MLS-100-WH-XL,4519900000042,シーズン限定風,ホワイト,XL,6,8,14,1690,true,コットン混の定番ニット。,0
MLS-100,ストライプクルーニット（ダミー01）,MLS-100-WH-L,4519900000059,定番,ホワイト,L,6,9,16,1709,true,コットン混の定番ニット。,0
MLS-100,ストライプクルーニット（ダミー01）,MLS-100-NV-L,4519900000066,シーズン限定風,ネイビー,L,11,10,13,1824,true,コットン混の定番ニット。,0
MLS-100,ストライプクルーニット（ダミー01）,MLS-100-NV-M,4519900000073,定番,ネイビー,M,8,11,15,1890,true,コットン混の定番ニット。,0
MLS-100,ストライプクルーニット（ダミー01）,MLS-100-BG-L,4519900000080,シーズン限定風,ベージュ,L,29,12,17,1895,true,コットン混の定番ニット。,0
MCT-101,テーパードチノパンツ（ダミー02）,MCT-101-NV-XS,4519900000097,定番,ネイビー,XS,6,6,9,1479,true,オフィスカジュアル向け。,1
MCT-101,テーパードチノパンツ（ダミー02）,MCT-101-OL-S,4519900000103,シーズン限定風,オリーブ,S,21,7,11,1517,true,オフィスカジュアル向け。,1
MCT-101,テーパードチノパンツ（ダミー02）,MCT-101-BG-S,4519900000110,定番,ベージュ,S,20,8,13,1583,true,オフィスカジュアル向け。,1
MCT-101,テーパードチノパンツ（ダミー02）,MCT-101-BK-XS,4519900000127,シーズン限定風,ブラック,XS,7,9,15,1588,true,オフィスカジュアル向け。,1
